evaluation_environment,design_id,risk_method,open_dcs,hardened_dcs,status,evaluated_total_cost,evaluated_fixed_cost,evaluated_hardening_cost,evaluated_transport_cost,evaluated_unmet_penalty,evaluated_disruption_penalty,evaluated_expected_unmet_demand,evaluated_cvar_unmet_demand,evaluated_eta_cvar
Full464_RF_calibrated,Fixed_P1,Fixed,"N4,N5,N13",,Optimal,39460.33200488567,5200.0,0.0,31316.277446982953,2702.815256471408,241.23930143034733,18.01876837647605,180.18768376476052,0.0
Full464_RF_calibrated,Historical_P1,Historical,"N4,N5,N13",,Optimal,39460.33200488567,5200.0,0.0,31316.277446982953,2702.815256471408,241.23930143034733,18.01876837647605,180.18768376476052,0.0
Full464_RF_calibrated,Rule-based_P1,Rule-based,"N4,N5,N13","N4,N13",Optimal,40190.5516269787,5200.0,1895.0,31319.210823449084,1615.1710733774294,161.16973015071733,10.767807155849527,107.67807155849526,0.0
Full464_RF_calibrated,ML Dynamic_P1,ML Dynamic,"N4,N5,N13",N5,Optimal,39691.172670257605,5200.0,1195.0,31471.589813676917,1623.893634584427,200.689221994803,10.82595756389618,108.2595756389618,0.0
Full464_RF_calibrated,ML Dynamic_P2,ML Dynamic,"N4,N5,N13","N4,N5",Optimal,40018.438386718946,5200.0,2255.0,31564.59237334989,845.0798958782256,153.76611748911552,5.633865972521504,56.338659725215045,0.0
Full464_RF_calibrated,ML Dynamic_P7,ML Dynamic,"N4,N5,N13","N4,N5,N13",Optimal,40449.30250076632,5200.0,3090.0,31493.324394121122,545.3584559280298,120.61965071517339,3.6357230395201996,36.357230395201995,0.0
Full464_RF_calibrated,ML Dynamic_P9,ML Dynamic,"N4,N5,N8,N13","N5,N8",Optimal,41188.466552823855,6800.0,2165.0,31661.195739261726,298.09232123461254,264.1784923254865,1.9872821415640836,19.872821415640836,0.0
Full464_RF_calibrated,ML Dynamic_P11,ML Dynamic,"N4,N5,N13,N14","N4,N5",Optimal,41322.423642228656,6900.0,2255.0,31694.302957104377,256.45260509463225,216.6680800280425,1.709684033964215,17.09684033964215,0.0
Full464_RF_calibrated,ML Dynamic_P12,ML Dynamic,"N4,N5,N8,N13","N4,N5,N8",Optimal,42120.7943831135,6800.0,3225.0,31649.67356855483,228.8654267365798,217.25538781979898,1.5257695115771988,15.257695115771986,0.0
Full464_RF_calibrated,Coastal/Inland_P1,Coastal/Inland,"N4,N5,N13",,Optimal,39460.33200488567,5200.0,0.0,31316.277446982953,2702.815256471408,241.23930143034733,18.01876837647605,180.18768376476052,0.0
Full464_RF_calibrated,Engineered Logistic_P1,Engineered Logistic,"N4,N5,N13",N13,Optimal,39882.06990017508,5200.0,835.0,31244.642636540113,2394.3344289774896,208.0928346564046,15.962229526516593,159.62229526516595,0.0
Full464_RF_calibrated,Engineered Logistic_P2,Engineered Logistic,"N4,N5,N13","N4,N13",Optimal,40190.5516269787,5200.0,1895.0,31319.210823449084,1615.1710733774294,161.16973015071733,10.767807155849527,107.67807155849526,0.0
Full464_RF_calibrated,Engineered Logistic_P6,Engineered Logistic,"N4,N5,N8,N13",N4,Optimal,40569.495669746684,6800.0,1060.0,31558.130849677233,830.0700824818392,321.29473758602853,5.533800549878929,55.338005498789286,0.0
Full464_RF_calibrated,Engineered Logistic_P11,Engineered Logistic,"N4,N5,N8,N13","N4,N8",Optimal,41105.27534003077,6800.0,2030.0,31631.209109562446,386.2607632111558,257.80546725534396,2.5750717547410384,25.750717547410385,0.0
Full464_RF_calibrated,Engineered Logistic_P12,Engineered Logistic,"N4,N5,N13,N14","N4,N14",Optimal,41258.392944156185,6900.0,2075.0,31704.594675553668,353.0310904072871,225.7671781941233,2.353540602715247,23.53540602715247,0.0
Full464_Engineered_Logistic,Fixed_P1,Fixed,"N4,N5,N13",,Optimal,38567.49996239074,5200.0,0.0,31396.0125422672,1750.350263461156,221.13715666037356,11.669001756407706,116.69001756407704,0.0
Full464_Engineered_Logistic,Historical_P1,Historical,"N4,N5,N13",,Optimal,38567.49996239074,5200.0,0.0,31396.0125422672,1750.350263461156,221.13715666037356,11.669001756407706,116.69001756407704,0.0
Full464_Engineered_Logistic,Rule-based_P1,Rule-based,"N4,N5,N13","N4,N13",Optimal,39508.99344943081,5200.0,1895.0,31414.69324508419,851.4732811127535,147.82692323090694,5.676488540751691,56.764885407516914,0.0
Full464_Engineered_Logistic,ML Dynamic_P1,ML Dynamic,"N4,N5,N13",N5,Optimal,39064.91144298074,5200.0,1195.0,31514.4749040152,971.5577272026717,183.8788117596537,6.477051514684478,64.77051514684477,0.0
Full464_Engineered_Logistic,ML Dynamic_P2,ML Dynamic,"N4,N5,N13","N4,N5",Optimal,39499.23033578688,5200.0,2255.0,31595.993930658446,308.26317816684434,139.97322695798906,2.055087854445629,20.55087854445629,0.0
Full464_Engineered_Logistic,ML Dynamic_P7,ML Dynamic,"N4,N5,N13","N4,N5,N13",Optimal,40137.60975748254,5200.0,3090.0,31518.113350504253,218.92782864400056,110.5685783301866,1.4595188576266702,14.5951885762667,0.0
Full464_Engineered_Logistic,ML Dynamic_P9,ML Dynamic,"N4,N5,N8,N13","N5,N8",Optimal,40920.7127111579,6800.0,2165.0,31626.515821678408,98.12645329320574,231.07043618408795,0.6541763552880383,6.541763552880383,0.0
Full464_Engineered_Logistic,ML Dynamic_P11,ML Dynamic,"N4,N5,N13,N14","N4,N5",Optimal,41033.3968099083,6900.0,2255.0,31659.18116170031,24.316189724007074,194.8994584810654,0.1621079314933805,1.6210793149338052,0.0
Full464_Engineered_Logistic,ML Dynamic_P12,ML Dynamic,"N4,N5,N8,N13","N4,N5,N8",Optimal,41850.9486722473,6800.0,3225.0,31618.705465430434,20.07835543186846,187.16485138242393,0.13385570287912307,1.3385570287912307,0.0
Full464_Engineered_Logistic,Coastal/Inland_P1,Coastal/Inland,"N4,N5,N13",,Optimal,38567.49996239074,5200.0,0.0,31396.0125422672,1750.350263461156,221.13715666037356,11.669001756407706,116.69001756407704,0.0
Full464_Engineered_Logistic,Engineered Logistic_P1,Engineered Logistic,"N4,N5,N13",N13,Optimal,39123.70795017137,5200.0,835.0,31337.43034137623,1559.5451007599422,191.7325080325705,10.396967338399612,103.96967338399611,0.0
Full464_Engineered_Logistic,Engineered Logistic_P2,Engineered Logistic,"N4,N5,N13","N4,N13",Optimal,39508.99344943081,5200.0,1895.0,31414.69324508419,851.4732811127535,147.82692323090694,5.676488540751691,56.764885407516914,0.0
Full464_Engineered_Logistic,Engineered Logistic_P6,Engineered Logistic,"N4,N5,N8,N13",N4,Optimal,39992.987035273596,6800.0,1060.0,31582.057025125683,279.3151894384375,271.6148207075781,1.8621012629229172,18.62101262922917,0.0
Full464_Engineered_Logistic,Engineered Logistic_P11,Engineered Logistic,"N4,N5,N8,N13","N4,N8",Optimal,40798.48331700269,6800.0,2030.0,31600.40270918553,143.65741153262917,224.42319628314337,0.9577160768841944,9.577160768841942,0.0
Full464_Engineered_Logistic,Engineered Logistic_P12,Engineered Logistic,"N4,N5,N13,N14","N4,N14",Optimal,40899.76805156063,6900.0,2075.0,31673.811621519748,46.261742418248915,204.6946876202473,0.3084116161216594,3.084116161216594,0.0
Full464_Rule_binary,Fixed_P1,Fixed,"N4,N5,N13",,Optimal,39921.176546785064,5200.0,0.0,31361.823098507273,3139.0086206896535,220.34482758620678,20.926724137931036,209.26724137931035,0.0
Full464_Rule_binary,Historical_P1,Historical,"N4,N5,N13",,Optimal,39921.176546785064,5200.0,0.0,31361.823098507273,3139.0086206896535,220.34482758620678,20.926724137931036,209.26724137931035,0.0
Full464_Rule_binary,Rule-based_P1,Rule-based,"N4,N5,N13","N4,N13",Optimal,39713.89798853208,5200.0,1895.0,31538.897988529156,956.896551724138,123.10344827586214,6.379310344827585,63.793103448275865,0.0
Full464_Rule_binary,ML Dynamic_P1,ML Dynamic,"N4,N5,N13",N5,Optimal,40694.14342334066,5200.0,1195.0,31437.63480264846,2654.094827586205,207.41379310344814,17.69396551724138,176.93965517241378,0.0
Full464_Rule_binary,ML Dynamic_P2,ML Dynamic,"N4,N5,N13","N4,N5",Optimal,40391.93324336664,5200.0,2255.0,31671.37289853591,1115.301724137931,150.25862068965515,7.435344827586207,74.35344827586206,0.0
Full464_Rule_binary,ML Dynamic_P7,ML Dynamic,"N4,N5,N13","N4,N5,N13",Optimal,40486.9806027267,5200.0,3090.0,31614.8254303094,471.9827586206897,110.17241379310349,3.146551724137931,31.465517241379306,0.0
Full464_Rule_binary,ML Dynamic_P9,ML Dynamic,"N4,N5,N8,N13","N5,N8",Optimal,41409.140947633634,6800.0,2165.0,31816.684051078064,371.76724137931035,255.68965517241372,2.478448275862069,24.78448275862069,0.0
Full464_Rule_binary,ML Dynamic_P11,ML Dynamic,"N4,N5,N13,N14","N4,N5",Optimal,41518.90284447049,6900.0,2255.0,31835.325258259592,371.76724137931035,156.8103448275862,2.478448275862069,24.78448275862069,0.0
Full464_Rule_binary,ML Dynamic_P12,ML Dynamic,"N4,N5,N8,N13","N4,N5,N8",Optimal,42355.97859412381,6800.0,3225.0,31760.676869981566,371.76724137931035,198.5344827586206,2.478448275862069,24.78448275862069,0.0
Full464_Rule_binary,Coastal/Inland_P1,Coastal/Inland,"N4,N5,N13",,Optimal,39921.176546785064,5200.0,0.0,31361.823098507273,3139.0086206896535,220.34482758620678,20.926724137931036,209.26724137931035,0.0
Full464_Rule_binary,Engineered Logistic_P1,Engineered Logistic,"N4,N5,N13",N13,Optimal,40016.108168506114,5200.0,835.0,31305.159892641703,2495.689655172413,180.25862068965512,16.637931034482758,166.37931034482762,0.0
Full464_Rule_binary,Engineered Logistic_P2,Engineered Logistic,"N4,N5,N13","N4,N13",Optimal,39713.89798853208,5200.0,1895.0,31538.897988529156,956.896551724138,123.10344827586214,6.379310344827585,63.793103448275865,0.0
Full464_Rule_binary,Engineered Logistic_P6,Engineered Logistic,"N4,N5,N8,N13",N4,Optimal,40527.3028054864,6800.0,1060.0,31738.38039168993,669.1810344827586,259.74137931034477,4.461206896551724,44.61206896551724,0.0
Full464_Rule_binary,Engineered Logistic_P11,Engineered Logistic,"N4,N5,N8,N13","N4,N8",Optimal,41329.37315947286,6800.0,2030.0,31731.873159469065,556.0344827586207,211.46551724137922,3.706896551724138,37.068965517241374,0.0
Full464_Rule_binary,Engineered Logistic_P12,Engineered Logistic,"N4,N5,N13,N14","N4,N14",Optimal,41454.6228003132,6900.0,2075.0,31825.010731343755,488.1465517241379,166.46551724137925,3.2543103448275863,32.54310344827586,0.0
Full464_Fixed,Fixed_P1,Fixed,"N4,N5,N13",,Optimal,36927.66731603065,5200.0,0.0,31489.80951362897,0.0,237.85780240073362,0.0,0.0,0.0
Full464_Fixed,Historical_P1,Historical,"N4,N5,N13",,Optimal,36927.66731603065,5200.0,0.0,31489.80951362897,0.0,237.85780240073362,0.0,0.0,0.0
Full464_Fixed,Rule-based_P1,Rule-based,"N4,N5,N13","N4,N13",Optimal,38731.67125478344,5200.0,1895.0,31468.188644747042,0.0,168.4826100338559,0.0,0.0,0.0
Full464_Fixed,ML Dynamic_P1,ML Dynamic,"N4,N5,N13",N5,Optimal,38073.11360719846,5200.0,1195.0,31489.80951362897,0.0,188.30409356724996,0.0,0.0,0.0
Full464_Fixed,ML Dynamic_P2,ML Dynamic,"N4,N5,N13","N4,N5",Optimal,39094.46171431002,5200.0,2255.0,31489.80951362897,0.0,149.65220067713244,0.0,0.0,0.0
Full464_Fixed,ML Dynamic_P7,ML Dynamic,"N4,N5,N13","N4,N5,N13",Optimal,39877.117545951194,5200.0,3090.0,31468.188644747042,0.0,118.92890120037376,0.0,0.0,0.0
Full464_Fixed,ML Dynamic_P9,ML Dynamic,"N4,N5,N8,N13","N5,N8",Optimal,40677.80120338447,6800.0,2165.0,31489.80951362897,0.0,222.99168975069,0.0,0.0,0.0
Full464_Fixed,ML Dynamic_P11,ML Dynamic,"N4,N5,N13,N14","N4,N5",Optimal,40869.783351735736,6900.0,2255.0,31489.80951362897,0.0,224.97383810402812,0.0,0.0,0.0
Full464_Fixed,ML Dynamic_P12,ML Dynamic,"N4,N5,N8,N13","N4,N5,N8",Optimal,41699.149310495995,6800.0,3225.0,31489.80951362897,0.0,184.33979686057071,0.0,0.0,0.0
Full464_Fixed,Coastal/Inland_P1,Coastal/Inland,"N4,N5,N13",,Optimal,36927.66731603065,5200.0,0.0,31489.80951362897,0.0,237.85780240073362,0.0,0.0,0.0
Full464_Fixed,Engineered Logistic_P1,Engineered Logistic,"N4,N5,N13",N13,Optimal,37710.32314767191,5200.0,835.0,31468.188644747042,0.0,207.13450292397442,0.0,0.0,0.0
Full464_Fixed,Engineered Logistic_P2,Engineered Logistic,"N4,N5,N13","N4,N13",Optimal,38731.67125478344,5200.0,1895.0,31468.188644747042,0.0,168.4826100338559,0.0,0.0,0.0
Full464_Fixed,Engineered Logistic_P6,Engineered Logistic,"N4,N5,N8,N13",N4,Optimal,39618.390615510805,6800.0,1060.0,31489.80951362897,0.0,268.5811018774954,0.0,0.0,0.0
Full464_Fixed,Engineered Logistic_P11,Engineered Logistic,"N4,N5,N8,N13","N4,N8",Optimal,40553.70301932824,6800.0,2030.0,31489.80951362897,0.0,233.89350569405363,0.0,0.0,0.0
Full464_Fixed,Engineered Logistic_P12,Engineered Logistic,"N4,N5,N13,N14","N4,N14",Optimal,40701.67624185345,6900.0,2075.0,31489.80951362897,0.0,236.86672822406257,0.0,0.0,0.0
Full464_Historical,Fixed_P1,Fixed,"N4,N5,N13",,Optimal,36983.20777679687,5200.0,0.0,31543.207776796564,0.0,240.00000000000597,0.0,0.0,0.0
Full464_Historical,Historical_P1,Historical,"N4,N5,N13",,Optimal,36983.20777679687,5200.0,0.0,31543.207776796564,0.0,240.00000000000597,0.0,0.0,0.0
Full464_Historical,Rule-based_P1,Rule-based,"N4,N5,N13","N4,N13",Optimal,38745.41383208689,5200.0,1895.0,31513.246450109604,0.0,137.16738197424618,0.0,0.0,0.0
Full464_Historical,ML Dynamic_P1,ML Dynamic,"N4,N5,N13",N5,Optimal,38161.04039482374,5200.0,1195.0,31543.207776796564,0.0,222.83261802575697,0.0,0.0,0.0
Full464_Historical,ML Dynamic_P2,ML Dynamic,"N4,N5,N13","N4,N5",Optimal,39160.782884095555,5200.0,2255.0,31543.207776796564,0.0,162.57510729613725,0.0,0.0,0.0
Full464_Historical,ML Dynamic_P7,ML Dynamic,"N4,N5,N13","N4,N5,N13",Optimal,39923.24645011433,5200.0,3090.0,31513.246450109604,0.0,119.99999999999524,0.0,0.0,0.0
Full464_Historical,ML Dynamic_P9,ML Dynamic,"N4,N5,N8,N13","N5,N8",Optimal,40782.11335619456,6800.0,2165.0,31543.207776796564,0.0,273.9055793991487,0.0,0.0,0.0
Full464_Historical,ML Dynamic_P11,ML Dynamic,"N4,N5,N13,N14","N4,N5",Optimal,40873.83009439437,6900.0,2255.0,31543.207776796564,0.0,175.62231759656837,0.0,0.0,0.0
Full464_Historical,ML Dynamic_P12,ML Dynamic,"N4,N5,N8,N13","N4,N5,N8",Optimal,41781.85584546641,6800.0,3225.0,31543.207776796564,0.0,213.6480686695313,0.0,0.0,0.0
Full464_Historical,Coastal/Inland_P1,Coastal/Inland,"N4,N5,N13",,Optimal,36983.20777679687,5200.0,0.0,31543.207776796564,0.0,240.00000000000597,0.0,0.0,0.0
Full464_Historical,Engineered Logistic_P1,Engineered Logistic,"N4,N5,N13",N13,Optimal,37745.67134281458,5200.0,835.0,31513.246450109604,0.0,197.4248927038655,0.0,0.0,0.0
Full464_Historical,Engineered Logistic_P2,Engineered Logistic,"N4,N5,N13","N4,N13",Optimal,38745.41383208689,5200.0,1895.0,31513.246450109604,0.0,137.16738197424618,0.0,0.0,0.0
Full464_Historical,Engineered Logistic_P6,Engineered Logistic,"N4,N5,N8,N13",N4,Optimal,39685.09618881398,6800.0,1060.0,31543.207776796564,0.0,281.88841201717105,0.0,0.0,0.0
Full464_Historical,Engineered Logistic_P11,Engineered Logistic,"N4,N5,N8,N13","N4,N8",Optimal,40604.02322743949,6800.0,2030.0,31543.207776796564,0.0,230.81545064378045,0.0,0.0,0.0
Full464_Historical,Engineered Logistic_P12,Engineered Logistic,"N4,N5,N13,N14","N4,N14",Optimal,40704.47387121791,6900.0,2075.0,31543.207776796564,0.0,186.26609442060428,0.0,0.0,0.0
Full464_RF_uncalibrated,Fixed_P1,Fixed,"N4,N5,N13",,Optimal,39475.34080018329,5200.0,0.0,31421.7096879041,2548.5567871300836,305.0743251479037,16.990378580867226,169.90378580867227,0.0
Full464_RF_uncalibrated,Historical_P1,Historical,"N4,N5,N13",,Optimal,39475.34080018329,5200.0,0.0,31421.7096879041,2548.5567871300836,305.0743251479037,16.990378580867226,169.90378580867227,0.0
Full464_RF_uncalibrated,Rule-based_P1,Rule-based,"N4,N5,N13","N4,N13",Optimal,40185.510815499496,5200.0,1895.0,31397.9687541097,1487.6084507666203,204.93361062118845,9.91738967177747,99.1738967177747,0.0
Full464_RF_uncalibrated,ML Dynamic_P1,ML Dynamic,"N4,N5,N13",N5,Optimal,39661.1532223929,5200.0,1195.0,31593.3731013282,1420.1022439624426,252.67787710066767,9.46734829308295,94.6734829308295,0.0
Full464_RF_uncalibrated,ML Dynamic_P2,ML Dynamic,"N4,N5,N13","N4,N5",Optimal,40030.840000961274,5200.0,2255.0,31661.515662870224,719.5406687461115,194.78366934300175,4.796937791640743,47.96937791640743,0.0
Full464_RF_uncalibrated,ML Dynamic_P7,ML Dynamic,"N4,N5,N13","N4,N5,N13",Optimal,40444.776823135675,5200.0,3090.0,31572.856465638113,429.3831949212787,152.53716257395212,2.862554632808525,28.625546328085246,0.0
Full464_RF_uncalibrated,ML Dynamic_P9,ML Dynamic,"N4,N5,N8,N13","N5,N8",Optimal,41240.36921146795,6800.0,2165.0,31745.00317860636,206.13028326572046,324.2357495934043,1.3742018884381366,13.742018884381366,0.0
Full464_RF_uncalibrated,ML Dynamic_P11,ML Dynamic,"N4,N5,N13,N14","N4,N5",Optimal,41427.96043616451,6900.0,2255.0,31770.256431777372,223.78397295020125,278.9200314344353,1.4918931530013417,14.918931530013417,0.0
Full464_RF_uncalibrated,ML Dynamic_P12,ML Dynamic,"N4,N5,N8,N13","N4,N5,N8",Optimal,42181.746914163035,6800.0,3225.0,31727.241753222603,163.16361910197728,266.3415418357386,1.0877574606798486,10.877574606798486,0.0
Full464_RF_uncalibrated,Coastal/Inland_P1,Coastal/Inland,"N4,N5,N13",,Optimal,39475.34080018329,5200.0,0.0,31421.7096879041,2548.5567871300836,305.0743251479037,16.990378580867226,169.90378580867227,0.0
Full464_RF_uncalibrated,Engineered Logistic_P1,Engineered Logistic,"N4,N5,N13",N13,Optimal,39831.555562810405,5200.0,835.0,31345.4609135814,2188.2668308485563,262.82781837885415,14.588445538990374,145.88445538990376,0.0
Full464_RF_uncalibrated,Engineered Logistic_P2,Engineered Logistic,"N4,N5,N13","N4,N13",Optimal,40185.510815499496,5200.0,1895.0,31397.9687541097,1487.6084507666203,204.93361062118845,9.91738967177747,99.1738967177747,0.0
Full464_RF_uncalibrated,Engineered Logistic_P6,Engineered Logistic,"N4,N5,N8,N13",N4,Optimal,40500.46890356825,6800.0,1060.0,31666.917599544413,583.2554416460304,390.2958623757113,3.8883696109735357,38.883696109735354,0.0
Full464_RF_uncalibrated,Engineered Logistic_P11,Engineered Logistic,"N4,N5,N8,N13","N4,N8",Optimal,41139.27370879541,6800.0,2030.0,31717.438658585703,273.0970603242563,318.7379898829744,1.8206470688283753,18.20647068828375,0.0
Full464_RF_uncalibrated,Engineered Logistic_P12,Engineered Logistic,"N4,N5,N13,N14","N4,N14",Optimal,41342.76108303062,6900.0,2075.0,31786.130535414984,292.38224917728,289.2482984359542,1.9492149945152002,19.492149945152004,0.0
Full464_Coastal_Inland,Fixed_P1,Fixed,"N4,N5,N13",,Optimal,36868.02613380521,5200.0,0.0,31510.920190650275,0.0,157.10594315245652,0.0,0.0,0.0
Full464_Coastal_Inland,Historical_P1,Historical,"N4,N5,N13",,Optimal,36868.02613380521,5200.0,0.0,31510.920190650275,0.0,157.10594315245652,0.0,0.0,0.0
Full464_Coastal_Inland,Rule-based_P1,Rule-based,"N4,N5,N13","N4,N13",Optimal,38702.922904558414,5200.0,1895.0,31496.63952815822,0.0,111.28337639965335,0.0,0.0,0.0
Full464_Coastal_Inland,ML Dynamic_P1,ML Dynamic,"N4,N5,N13",N5,Optimal,38030.29572898186,5200.0,1195.0,31510.920190650275,0.0,124.37553832902493,0.0,0.0,0.0
Full464_Coastal_Inland,ML Dynamic_P2,ML Dynamic,"N4,N5,N13","N4,N5",Optimal,39064.76601321943,5200.0,2255.0,31510.920190650275,0.0,98.84582256675105,0.0,0.0,0.0
Full464_Coastal_Inland,ML Dynamic_P7,ML Dynamic,"N4,N5,N13","N4,N5,N13",Optimal,39865.192499734905,5200.0,3090.0,31496.63952815822,0.0,78.55297157622584,0.0,0.0,0.0
Full464_Coastal_Inland,ML Dynamic_P9,ML Dynamic,"N4,N5,N8,N13","N5,N8",Optimal,40641.84671031162,6800.0,2165.0,31510.920190650275,0.0,165.92651965980968,0.0,0.0,0.0
Full464_Coastal_Inland,ML Dynamic_P11,ML Dynamic,"N4,N5,N13,N14","N4,N5",Optimal,40814.51622855125,6900.0,2255.0,31510.920190650275,0.0,148.59603789836322,0.0,0.0,0.0
Full464_Coastal_Inland,ML Dynamic_P12,ML Dynamic,"N4,N5,N8,N13","N4,N5,N8",Optimal,41676.31699454917,6800.0,3225.0,31510.920190650275,0.0,140.39680389753298,0.0,0.0,0.0
Full464_Coastal_Inland,Coastal/Inland_P1,Coastal/Inland,"N4,N5,N13",,Optimal,36868.02613380521,5200.0,0.0,31510.920190650275,0.0,157.10594315245652,0.0,0.0,0.0
Full464_Coastal_Inland,Engineered Logistic_P1,Engineered Logistic,"N4,N5,N13",N13,Optimal,37668.45262032099,5200.0,835.0,31496.63952815822,0.0,136.81309216192847,0.0,0.0,0.0
Full464_Coastal_Inland,Engineered Logistic_P2,Engineered Logistic,"N4,N5,N13","N4,N13",Optimal,38702.922904558414,5200.0,1895.0,31496.63952815822,0.0,111.28337639965335,0.0,0.0,0.0
Full464_Coastal_Inland,Engineered Logistic_P6,Engineered Logistic,"N4,N5,N8,N13",N4,Optimal,39585.59838070439,6800.0,1060.0,31510.920190650275,0.0,214.67819005174854,0.0,0.0,0.0
